,TRACTCE,Disadvantage,Medfaminc,SNAP%,PovertyRate,mrFEI,mrFEI_food_desert_swamp,mrFEI_food_desert,TargetLabel,mrFEI_food_desert_swamp_cluster_desert
392,041300,0.262674004,92522.0,0.339514971,20.5,0.5625,0,0,1,1
393,096600,0.126641482,68281.0,0.100490198,9.7,0.0,1,1,0,1
394,079400,0.310104072,53917.0,0.345679015,21.6,0.4,0,0,1,1
395,02100,0.023628475,250001.0,0.007759457,5.3,0.2894736842105263,0,0,0,0
396,0113000,0.239645243,65664.0,0.266837716,30.2,0.4,0,0,1,1
397,090200,0.404022306,52399.0,0.444165617,39.8,0.5,0,0,1,1
398,048500,0.238299608,65947.0,0.121794872,20.4,0.125,0,0,0,0
399,038900,0.148488924,80259.0,0.115771815,20.6,0.238095238095238,0,0,0,0
400,039100,0.279277265,56223.0,0.221840665,31.2,0.0,1,1,1,1
401,039300,0.271563351,58269.0,0.26630801,26.9,0.25,0,0,1,1
402,036700,0.269684255,61000.0,0.238095239,15.7,0.5,0,0,0,0
403,053000,0.314602286,59050.0,0.282939196,26.0,0.0,1,1,1,1
404,021700,0.223932028,75682.0,0.213913038,18.4,0.0,1,1,0,1
405,050202,0.065450191,145664.0,0.049532712,7.1,0.1666666666666666,0,0,0,0
406,084000,0.10221874,85563.0,0.097590365,7.6,1.0,0,0,0,0
407,084800,0.120799005,96750.0,0.125673249,7.7,0.3333333333333333,0,0,0,0
408,085400,0.185433418,66667.0,0.151177198,18.2,0.0,1,1,0,1
409,085800,0.129781976,69500.0,0.088888891,9.5,0.2142857142857142,0,0,0,0
410,086400,0.160468757,80111.0,0.196226418,8.6,0.5,0,0,0,0
411,038200,0.634680271,20058.0,0.771321476,39.5,0.2,0,0,1,1
412,026800,0.227448702,58125.0,0.211424813,20.6,0.25,0,0,0,0
413,064600,0.088938646,87813.0,0.038748138,7.8,0.0,1,1,0,1
414,043600,0.273628652,77333.0,0.376344085,21.1,0.5789473684210527,0,0,1,1
415,074000,0.125267297,89519.0,0.213725492,9.0,0.3333333333333333,0,0,0,0
416,028200,0.193034932,75897.0,0.256995589,19.6,0.5,0,0,0,0
417,077200,0.203677073,71726.0,0.22286661,8.3,0.5,0,0,0,0
418,0118600,0.110909529,82955.0,0.124165557,19.3,0.3333333333333333,0,0,0,0
419,089400,0.432357967,42321.0,0.419833183,31.1,0.625,0,0,1,1
420,064200,0.164513066,94625.0,0.167061612,18.6,0.5,0,0,0,0
421,043800,0.264833093,62500.0,0.217161015,27.8,0.0,1,1,1,1
422,014200,0.07947775,75781.0,0.103230894,10.5,0.0588235294117647,1,0,0,1
423,034800,0.316038907,47200.0,0.216276482,28.7,0.4,0,0,1,1
424,012200,0.408657223,37961.0,0.380038381,30.9,0.5555555555555556,0,0,1,1
425,093800,0.120737299,82824.0,0.108193278,14.0,0.3333333333333333,0,0,0,0
426,049000,0.247054964,59457.0,0.232962132,23.8,0.7777777777777778,0,0,1,1
427,0115200,0.297222972,59025.0,0.442364544,25.4,0.375,0,0,1,1
428,055400,0.253521025,68242.0,0.322303921,28.0,0.2916666666666667,0,0,1,1
429,019000,0.260746062,57670.0,0.240900069,18.4,0.125,0,0,1,1
430,03000,0.123905234,108750.0,0.070175439,10.8,1.0,0,0,0,0
431,0112800,0.39165926,62212.0,0.457185417,26.4,0.3636363636363636,0,0,1,1
432,011400,0.388389856,46818.0,0.348785877,35.4,0.25,0,0,1,1
433,021200,0.297088206,41905.0,0.209748894,20.1,0.3888888888888889,0,0,1,1
434,037500,0.165215254,71859.0,0.19956927,21.9,0.35,0,0,0,0
435,041600,0.242704585,60104.0,0.245152354,22.9,1.0,0,0,1,1
436,0117201,0.254850298,75000.0,0.290190727,26.2,0.0,1,1,1,1
437,027800,0.140477642,77969.0,0.21600689,11.1,0.391304347826087,0,0,0,0
438,050801,0.270961493,63553.0,0.273983121,27.0,0.6666666666666666,0,0,1,1
439,074600,0.079582259,103500.0,0.101740293,3.4,0.2857142857142857,0,0,0,0
440,072800,0.123675063,86477.0,0.138016015,7.6,0.6666666666666666,0,0,0,0
441,011600,0.334610671,40714.0,0.282226563,28.6,0.0,1,1,1,1
442,020300,0.093198046,182557.0,0.04040404,10.5,0.1875,0,0,0,0
443,017000,0.140234038,89831.0,0.163793102,13.4,0.1666666666666666,0,0,0,0
444,095000,0.133747309,96652.0,0.200654313,8.3,0.3076923076923077,0,0,0,0
445,018800,0.13500303,77240.0,0.13333334,12.7,0.5,0,0,0,0
446,035400,0.23346293,69800.0,0.251451373,9.0,0.3,0,0,0,0
447,031701,0.113123097,93788.0,0.08588957,14.9,0.1578947368421052,0,0,0,0
448,093400,0.120356202,82500.0,0.104562737,9.9,0.25,0,0,0,0
449,032700,0.187797204,60714.0,0.148176879,24.1,0.3846153846153846,0,0,0,0
450,0120200,0.307595909,37230.0,0.114726029,33.6,0.0,1,1,1,1
451,07400,0.352727145,46635.0,0.24642393,43.6,0.2962962962962963,0,0,1,1
452,080600,0.246523872,67802.0,0.247678012,30.6,0.6666666666666666,0,0,1,1
453,029400,0.265645057,59708.0,0.287112564,26.2,0.0,1,1,1,1
454,05900,0.106748164,102500.0,0.126629427,11.9,0.4615384615384615,0,0,0,0
455,083600,0.174736544,72454.0,0.08357349,13.7,0.4285714285714285,0,0,0,0
456,051500,0.034136593,169125.0,0.03190596,4.7,0.0,1,1,0,1
457,094600,0.047708817,107829.0,0.033994336,10.8,0.0,1,1,0,1
458,012902,0.112006463,141023.0,0.09589041,15.0,0.2307692307692307,0,0,0,0
459,0119600,0.337216347,44636.0,0.379185975,22.8,0.4285714285714285,0,0,1,1
460,042800,0.200387731,76250.0,0.271092683,16.3,0.3333333333333333,0,0,0,0
461,017100,0.09641581,149375.0,0.103791177,4.6,0.4285714285714285,0,0,0,0
462,033000,0.492608488,32349.0,0.548507452,38.4,0.0,1,1,1,1
463,07000,0.093692586,82614.0,0.17830883,13.3,0.5,0,0,0,0
464,011000,0.252070069,70526.0,0.30427891,27.9,0.3,0,0,1,1
465,024800,0.184008807,64148.0,0.18571429,14.4,0.5,0,0,0,0
466,054700,0.3318443,49186.0,0.274070024,40.1,0.4285714285714285,0,0,1,1
